ticker,lookback_start,lookback_end,rebalance_count,ow_count,uw_count,ow_ratio,uw_ratio,latest_portfolio_weight,latest_benchmark_weight,latest_active_weight,avg_active_weight,min_active_weight,max_active_weight,persistent_ow,persistent_uw
MU,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.033975276727665205,0.018276369362166818,0.015698907365498387,0.01257698803927012,0.010153690438901415,0.015698907365498387,True,False
LITE,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.01725596828028425,0.001589743321637584,0.01566622495864667,0.02347112686714957,0.01566622495864667,0.029118181815724387,True,False
000660,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.03375661174765579,0.01967134349495091,0.01408526825270488,0.010079283885444872,0.00631995813727205,0.01408526825270488,True,False
BE,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.013980120029535852,0.0018567391432600256,0.012123380886275827,0.013764848705986814,0.012123380886275827,0.015242359024129203,True,False
005930,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.033729678771382235,0.024358324682853347,0.009371354088528887,0.005912839805053456,0.0020630585805598116,0.009371354088528887,True,False
PLTR,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.015484220535920206,0.007081218154744166,0.00840300238117604,0.006027156726477587,0.004771399872565014,0.00840300238117604,True,False
ISRG,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.009382450973642698,0.003348262839793279,0.006034188133849419,0.004389044630037333,0.0020415114597779503,0.006034188133849419,True,False
CRM,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.007721032020385867,0.0031788241000664684,0.004542207920319398,0.003344242932449877,0.0028996709042328032,0.004542207920319398,True,False
SPGI,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.0049899507118945285,0.002732328943647085,0.0022576217682474435,0.004829098186786355,0.0022576217682474435,0.009090981708452737,True,False
GEV,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.008084374714221715,0.0060235169152894315,0.0020608577989322833,0.0027286487876709824,0.0020608577989322833,0.0029945545363572667,True,False
NVDA,2026-02-24,2026-05-22,4,4,0,1.0,0.0,0.11346432525929813,0.11245096898045803,0.0010133562788400968,0.0017437059501010307,0.0010133562788400968,0.003187210559521106,True,False
LMT,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.0065099479628572465,0.0026531192760550137,0.003856828686802233,0.0014117314290506909,-0.00026611601928788926,0.003856828686802233,False,False
LLY,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.024268353960172774,0.021643354313566603,0.0026249996466061708,0.001178175153853868,-0.0004790209924680072,0.003010016122473449,False,False
LRCX,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.010180919067254223,0.00824042428825947,0.0019404947789947533,0.00023571303361004815,-0.00045858268085991697,0.0019404947789947533,False,False
AMD,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.018004996081962973,0.01645060250569416,0.001554393576268815,-0.00024319120338852913,-0.0026558164885250373,0.001554393576268815,False,False
VRT,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.0037473323271136395,0.0027142873855795133,0.0010330449415341262,0.00030226560752281387,-0.0007219301384235066,0.001394683250361203,False,False
MA,2026-02-24,2026-05-22,4,3,1,0.75,0.25,0.0104171122437614,0.009507897128806663,0.0009092151149547364,0.0007333787815586375,-0.0009461948866436292,0.0016152292802838458,False,False
V,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.013918012571341171,0.013700017750967592,0.00021799482037357897,-0.0007444154671134738,-0.0012058787852842982,0.00021799482037357897,False,False
HD,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.006813062602674901,0.006729087059718152,8.397554295674903e-05,-0.002000848864589002,-0.005547044567569059,0.0005044245784809522,False,False
TMUS,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.0042756127700616835,0.004471502270458232,-0.0001958895003965483,-0.0015939488404053492,-0.0031830034585247826,4.022725064340652e-05,False,False
PG,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.007062252037516934,0.00725814229069425,-0.00019589025317731656,0.0003098857656300309,-0.000864415728034907,0.002991451546333651,False,False
AVGO,2026-02-24,2026-05-22,4,3,1,0.75,0.25,0.042117708595210454,0.042313604547977786,-0.0001958959527673318,0.0016298587081965618,-0.0001958959527673318,0.0025977534434304048,False,False
BLK,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.003434476119579429,0.0037873661281133666,-0.0003528900085339377,0.00040928707523659683,-0.0007761144973848634,0.0028542203593607558,False,False
AMT,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.0014812008382562329,0.0018483881657318179,-0.000367187327475585,0.000415349986451109,-0.000367187327475585,0.0023293184304313073,False,False
PANW,2026-02-24,2026-05-22,4,2,2,0.5,0.5,0.004177163150613298,0.004588540129160402,-0.0004113769785471042,0.0006907897451600135,-0.0004113769785471042,0.0016429934913103537,False,False
ABBV,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.007375323222640584,0.008223923593140637,-0.0008486003705000522,-0.00039191816687133077,-0.001194782219373948,0.0014767287231301964,False,False
NFLX,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.006936334462761672,0.008050845271240357,-0.0011145108084786859,-0.00010953025953577573,-0.0011145108084786859,0.00243640415497701,False,False
WFC,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.0031292769644073078,0.005045276521284191,-0.001915999556876883,-0.0014840592420090172,-0.0022350200497766454,0.0001241292807258954,False,False
GS,2026-02-24,2026-05-22,4,1,3,0.25,0.75,0.003991141004083097,0.006593794004954967,-0.00260265300087187,0.0002899000472613492,-0.00260265300087187,0.004922650275371697,False,False
MSFT,2026-02-24,2026-05-22,4,3,1,0.75,0.25,0.06369997670804839,0.06709786539644888,-0.003397888688400491,-0.00047542298864173757,-0.003397888688400491,0.0010656782429643852,False,False
