ticker,lookback_start,lookback_end,rebalance_count,ow_count,uw_count,ow_ratio,uw_ratio,latest_portfolio_weight,latest_benchmark_weight,latest_active_weight,avg_active_weight,min_active_weight,max_active_weight,persistent_ow,persistent_uw
TSLA,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.02072514116477001,0.03390868006114451,-0.0131835388963745,-0.012242520827497601,-0.016107977110097708,-0.008685650989383786,False,True
WMT,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.014776146738157867,0.022568178378658498,-0.007792031640500631,-0.005103260934859332,-0.008328216194622578,-0.0008247687904187583,False,True
INTC,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.00693019637396235,0.012937009667490717,-0.006006813293528366,-0.003708169813262298,-0.006006813293528366,-0.0025049007940595833,False,True
JNJ,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.007481288683880532,0.011944491060703938,-0.004463202376823406,-0.002520535691560831,-0.004735740234633119,-0.0003999322956237828,False,True
META,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.029129367105333245,0.03323326064480874,-0.004103893539475496,-0.003323156920861341,-0.0044691343185855395,-0.0007816677462052432,False,True
ABBV,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.004549557665165298,0.008116075765087306,-0.0035665180999220085,-0.003867940577174691,-0.0042396838666294455,-0.0035665180999220085,False,True
XOM,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.010823362550674865,0.014016283208539135,-0.00319292065786427,-0.00572986171535648,-0.007297793039698113,-0.00319292065786427,False,True
LIN,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0018911484046588395,0.005071151310000579,-0.00318000290534174,-0.003444342828269828,-0.0036160995041815127,-0.00318000290534174,False,True
UNH,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.004540440571843647,0.007531893714325331,-0.0029914531424816843,-0.0026645974907904746,-0.0029914531424816843,-0.0023210249584016225,False,True
CAT,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0057546839030431125,0.00869605223201642,-0.0029413683289733067,-0.0032654783837264773,-0.004043713923845884,-0.0029413683289733067,False,True
GOOGL,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.09864798551879761,0.10144775097978073,-0.0027997654609831224,-0.0025942442002295785,-0.003801922266571417,-0.0018587139914282569,False,True
HD,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.004439658164318323,0.0066935318037973065,-0.0022538736394789836,-0.0026511149847279363,-0.003014167676240665,-0.0022538736394789836,False,True
COST,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.008081009152270294,0.010310073646507205,-0.002229064494236911,-0.0037575439196522666,-0.005391654416024799,-0.0021770050224196574,False,True
WFC,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.002965597845727546,0.005019786760527316,-0.0020541889147997696,-0.0013958734571386526,-0.0023365035095128076,-0.0005599915058272301,False,True
AAPL,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.09413128533744043,0.09605509313938232,-0.0019238078019418875,-0.0019213465557292274,-0.0019712566497143563,-0.0018734417413955734,False,True
ORCL,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.009868861937084526,0.011709372095901586,-0.0018405101588170603,-0.0029324215710561444,-0.003593226226016235,-0.0018405101588170603,False,True
V,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.012081538919191287,0.013814993648159692,-0.0017334547289684053,-0.0017655806951556766,-0.0018458863797366758,-0.0016987233786064908,False,True
UNP,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0018109734549869188,0.00341461809308065,-0.001603644638093731,-0.0016852720858428363,-0.0017393292787736755,-0.001603644638093731,False,True
TMUS,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0029455061285023057,0.004452860255024943,-0.0015073541265226377,-0.0017953263523938355,-0.0019884523357381516,-0.0015073541265226377,False,True
GLW,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0018717816532230916,0.0033584992458072557,-0.001486717592584164,-0.0014143712618112853,-0.001486717592584164,-0.0013261548740956491,False,True
BAC,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.006412292039450808,0.0078665548112953,-0.0014542627718444915,-0.0015687264431230503,-0.0017078932140525927,-0.0014542627718444915,False,True
MCD,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0028878648243908377,0.004308784029294261,-0.0014209192049034233,-0.0016498888691822938,-0.0017944995172088979,-0.0014209192049034233,False,True
MSFT,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.06632396817920415,0.06767866137003492,-0.0013546931908307719,-0.0007033317084964852,-0.0013546931908307719,-0.0001337710307177803,False,True
AMZN,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.06043652129629331,0.06168340385665397,-0.0012468825603606584,-0.003979572752742029,-0.007494214302794781,-0.0012468825603606584,False,True
PANW,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.003178400690561431,0.004355112305360622,-0.0011767116147991907,-0.0008752385146589351,-0.0011767116147991907,-0.000674357306154799,False,True
TER,2026-02-24,2026-05-20,4,0,4,0.0,1.0,2.2699915439090208e-05,0.0011663509955803792,-0.001143651080141289,-0.001259773380729106,-0.0014358691046779783,-0.001143651080141289,False,True
CSCO,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.008824355383995864,0.009752163217827122,-0.0009278078338312585,-0.000720143771225062,-0.0009278078338312585,-0.0005735153314215024,False,True
