fold_start,trained,reason,n_sampled_dates,universe_size,train_start,train_end,val_start,val_end,n_train_dates,n_val_dates,changed_cells,anchor_guarded_cells,val_sharpe,train_sharpe,epochs
2014-01-27,0,no_embargoed_history,,,,,,,,,,,,,
2014-04-24,0,insufficient_train_dates,3.0,,,,,,,,,,,,
2014-07-22,0,insufficient_train_dates,6.0,,,,,,,,,,,,
2014-10-17,0,insufficient_train_dates,9.0,,,,,,,,,,,,
2015-01-14,0,insufficient_universe,,0.0,,,,,,,,,,,
2015-04-13,0,insufficient_universe,,0.0,,,,,,,,,,,
2015-07-09,0,insufficient_universe,,0.0,,,,,,,,,,,
2015-10-06,0,insufficient_universe,,0.0,,,,,,,,,,,
2016-01-01,0,insufficient_universe,,0.0,,,,,,,,,,,
2016-03-30,0,insufficient_universe,,0.0,,,,,,,,,,,
2016-06-27,0,insufficient_universe,,0.0,,,,,,,,,,,
2016-09-22,0,insufficient_universe,,0.0,,,,,,,,,,,
2016-12-20,0,insufficient_universe,,0.0,,,,,,,,,,,
2017-03-17,0,insufficient_universe,,0.0,,,,,,,,,,,
2017-06-14,0,insufficient_universe,,0.0,,,,,,,,,,,
2017-09-11,0,insufficient_universe,,0.0,,,,,,,,,,,
2017-12-07,0,insufficient_universe,,0.0,,,,,,,,,,,
2018-03-06,0,insufficient_universe,,0.0,,,,,,,,,,,
2018-06-01,0,insufficient_universe,,0.0,,,,,,,,,,,
2018-08-29,0,insufficient_universe,,0.0,,,,,,,,,,,
2018-11-26,0,insufficient_universe,,0.0,,,,,,,,,,,
2019-02-21,0,insufficient_universe,,0.0,,,,,,,,,,,
2019-05-21,0,insufficient_universe,,0.0,,,,,,,,,,,
2019-08-16,0,insufficient_universe,,0.0,,,,,,,,,,,
2019-11-13,0,insufficient_universe,,0.0,,,,,,,,,,,
2020-02-10,0,insufficient_universe,,0.0,,,,,,,,,,,
2020-05-07,0,insufficient_universe,,0.0,,,,,,,,,,,
2020-08-04,0,insufficient_universe,,0.0,,,,,,,,,,,
2020-10-30,0,insufficient_universe,,0.0,,,,,,,,,,,
2021-01-27,0,insufficient_universe,,0.0,,,,,,,,,,,
2021-04-26,0,insufficient_universe,,0.0,,,,,,,,,,,
2021-07-22,0,insufficient_universe,,0.0,,,,,,,,,,,
2021-10-19,0,insufficient_universe,,0.0,,,,,,,,,,,
2022-01-14,0,insufficient_universe,,0.0,,,,,,,,,,,
2022-04-13,0,insufficient_universe,,0.0,,,,,,,,,,,
2022-07-11,0,insufficient_universe,,0.0,,,,,,,,,,,
2022-10-06,0,insufficient_universe,,0.0,,,,,,,,,,,
2023-01-03,0,insufficient_universe,,0.0,,,,,,,,,,,
2023-03-31,0,insufficient_universe,,0.0,,,,,,,,,,,
2023-06-28,0,insufficient_universe,,0.0,,,,,,,,,,,
2023-09-25,0,insufficient_universe,,0.0,,,,,,,,,,,
2023-12-21,1,,,63.0,2019-01-25,2023-05-03,2023-06-01,2023-10-26,54.0,6.0,4032.0,976.0,3.099156379699707,1.5768070220947266,38.0
2024-03-19,1,,,63.0,2019-04-24,2023-07-31,2023-08-29,2024-01-23,54.0,6.0,4088.0,1087.0,-0.4862504005432129,1.9116934537887573,4.0
2024-06-14,1,,,63.0,2019-07-22,2023-10-26,2023-11-24,2024-04-19,54.0,6.0,4095.0,1168.0,1.5295560359954834,2.02958345413208,10.0
2024-09-11,1,,,63.0,2019-10-17,2024-01-23,2024-02-21,2024-07-17,54.0,6.0,4095.0,1221.0,2.1671974658966064,1.7063392400741577,28.0
2024-12-09,1,,,63.0,2020-01-14,2024-04-19,2024-05-20,2024-10-14,54.0,6.0,4095.0,1419.0,-0.05865956470370293,1.8033214807510376,57.0
2025-03-06,1,,,63.0,2020-04-10,2024-07-17,2024-08-15,2025-01-09,54.0,6.0,4095.0,1278.0,1.0856571197509766,1.5268864631652832,0.0
2025-06-03,1,,,63.0,2020-07-08,2024-10-14,2024-11-12,2025-04-08,54.0,6.0,4095.0,1468.0,2.6213033199310303,1.4977036714553833,3.0
2025-08-29,1,,,64.0,2020-10-05,2025-01-09,2025-02-07,2025-07-04,54.0,6.0,4095.0,1533.0,2.1866066455841064,1.0621472597122192,0.0
2025-11-26,1,,,64.0,2020-12-31,2025-04-08,2025-05-07,2025-10-01,54.0,6.0,4095.0,1274.0,-2.034167766571045,1.5060027837753296,3.0
2026-02-23,1,,,64.0,2021-03-30,2025-07-04,2025-08-04,2025-12-29,54.0,6.0,4095.0,1136.0,-0.8957934379577637,1.5568442344665527,0.0
2026-05-21,1,,,64.0,2021-06-25,2025-10-01,2025-10-30,2026-03-26,54.0,6.0,910.0,276.0,0.9028095006942749,1.119308590888977,16.0
