date,top_long_sectors,top_gross_sectors,positive_style_tilts,negative_style_tilts,momentum,value,quality,growth,sentiment,size
2024-07-31,"Financials:0.023, Industrials:0.007, Technology:-0.247","Technology:0.816, Financials:0.114, Industrials:0.050",growth:0.599; quality:0.121; sentiment:-0.004,momentum:-0.220; size:-0.055; value:-0.052,-0.2204695857076513,-0.0524074773002963,0.12118833366102989,0.5991725890751527,-0.0035379400137309476,-0.05526741307196301
2024-08-30,"Financials:0.016, Technology:-0.002, Industrials:-0.004","Technology:0.701, Financials:0.101, Industrials:0.044",sentiment:0.015; size:-0.013; momentum:-0.043,quality:-0.315; value:-0.312; growth:-0.221,-0.04311876929091805,-0.3116724395141426,-0.31525682675572436,-0.22062090375348278,0.014545990099932286,-0.013177848433218724
2024-09-30,"Technology:0.093, Financials:0.014, Industrials:0.003","Technology:0.540, Financials:0.074, Industrials:0.035",growth:0.307; value:0.211; quality:-0.002,sentiment:-0.865; momentum:-0.143; size:-0.114,-0.14275260729437442,0.2105819194454581,-0.0024413047224565686,0.30656542215123905,-0.8653649784127121,-0.11424258961070137
2024-10-31,"Financials:0.006, Industrials:-0.002, Technology:-0.127","Technology:0.416, Financials:0.059, Industrials:0.026",momentum:0.861; growth:0.002; size:-0.030,value:-1.331; sentiment:-0.262; quality:-0.047,0.8606450020366281,-1.33134171793597,-0.047060968047283935,0.0018769255750461975,-0.2623875073979833,-0.02974944953148598
2024-11-29,"Industrials:-0.002, Financials:-0.011, Technology:-0.126","Technology:0.645, Financials:0.097, Industrials:0.043",sentiment:0.199; growth:0.097; size:-0.050,quality:-0.396; value:-0.380; momentum:-0.179,-0.1790073467121478,-0.38029146047253676,-0.3955353051570588,0.09749225113968273,0.1993167473632572,-0.04966285584148592
2024-12-31,"Financials:-0.007, Industrials:-0.009, Technology:-0.114","Technology:0.574, Financials:0.081, Industrials:0.034",momentum:0.789; sentiment:0.317; growth:0.249,value:-1.007; quality:-0.158; size:-0.099,0.7890594821943304,-1.0065987622231978,-0.1582508960353498,0.24883928718496826,0.31713293493149725,-0.09882597774709882
2025-01-31,"Industrials:0.015, Technology:-0.008, Financials:-0.018","Technology:0.541, Financials:0.084, Industrials:0.034",size:-0.011; growth:-0.294; sentiment:-0.339,value:-0.555; momentum:-0.508; quality:-0.354,-0.5079632447658514,-0.5549477203947563,-0.3542997497890481,-0.2941633368670633,-0.3394694207784439,-0.010519121677583803
2025-02-28,"Industrials:0.005, Financials:-0.021, Technology:-0.198","Technology:0.631, Financials:0.103, Industrials:0.038",value:0.517; sentiment:0.162; growth:0.068,quality:-0.418; size:-0.309; momentum:-0.213,-0.21331947172547464,0.5173067137589227,-0.4175852890993442,0.06794898719103055,0.1624254887392552,-0.3089012358105257
2025-03-31,"Technology:0.024, Financials:0.018, Industrials:-0.016","Technology:0.643, Financials:0.109, Industrials:0.041",momentum:0.699; sentiment:0.427; growth:0.146,value:-0.215; size:-0.031; quality:0.022,0.6989974479973283,-0.2152561680222812,0.022124473773673676,0.14621618471523629,0.42721964757937775,-0.03052815448844411
2025-04-30,"Technology:0.064, Financials:0.005, Industrials:-0.020","Technology:0.852, Financials:0.141, Industrials:0.054",growth:0.386; value:0.369; quality:0.132,momentum:-0.087; size:-0.055; sentiment:0.022,-0.08742501644104558,0.36863102756799043,0.13210054076249572,0.3864725296814247,0.021637108824160048,-0.05526883149497285
